公司名称,经营状态,法定代表人,注册资本,实缴资本,成立日期,核准日期,营业期限,所属省份,所属城市,所属区县,统一社会信用代码,纳税人识别号,注册号,组织机构代码,参保人数,公司类型,所属行业,曾用名,注册地址,最新年报地址,网址,电话,其他电话,邮箱,其他邮箱
绍兴中芯集成电路制造股份有限公司,存续,赵奇,507600万人民币,507600万人民币,2018-03-09,2021-06-30,2018-03-09 至 2068-03-15,浙江省,绍兴市,越城区,91330600MA2BDY6H13,91330600MA2BDY6H13,330600400032819,MA2BDY6H1,11259,股份有限公司（外商投资、未上市）,计算机、通信和其他电子设备制造业,"中芯集成电路制造（绍兴）有限公司	",浙江省绍兴市越城区皋埠街道临江路518号,浙江省绍兴市越城区皋埠街道临江路518号,https://www.smecs.com/,0575-88060000,0575-88060000;0575-38125300,-,-
东北特殊钢集团股份有限公司,存续,蒋建平,1045459.4961万人民币,1037735.849万人民币,1996-05-17,2022-05-12,1996-05-17  至 无固定期限,辽宁省,大连市,金州区,912100007497716597,912100007497716597,210000004932066,74977165-9,4787,其他股份有限公司(非上市),黑色金属冶炼和压延加工业,"辽宁特殊钢集团有限责任公司	;	东北特殊钢集团有限责任公司	",辽宁省大连市金州区登沙河临港工业区河滨南路18号,辽宁省大连市金州区登沙河临港工业区河滨南路18号,http://www.dtgroup.cn/,0411-62693024,0411-62693024;0411-62693399;0411-62693333;0411-62693165;0411-62693164,dtdshbgs@dtsteel.com,aihua@dtsteel.com;tgzbyz@163.com;xiangshiyang0411@163.com;tzgl@dtsteel.com;210000004932066@inpost.cn
宝能汽车集团有限公司,存续,孙莉,1000000万人民币,557000万人民币,2017-03-20,2021-10-11,2017-03-20 至 2037-03-31,广东省,深圳市,罗湖区,91440300MA5EE7EF65,91440300MA5EE7EF65,440300200431516,MA5EE7EF-6,20,有限责任公司,汽车制造业,"宝能汽车有限公司	",深圳市罗湖区笋岗街道宝安北路2088号深业物流大厦1008,深圳市罗湖区笋岗街道宝安北路2088号深业物流大厦1008,-,18026961636,18026961636;15815501820,wuyx001@bngrp.com,hushuangshuang@baonengmotor.com;273986533@qq.com
新兴际华集团有限公司,存续,贾世瑞,518730万人民币,518730万人民币,1997-01-08,2021-10-13,1997-01-08  至 无固定期限,北京市,北京市,朝阳区,911100001055722912,911100001055722912,100000000036116,10557229-1,100,有限责任公司(国有独资),金属制品业,-,北京市朝阳区东三环中路5号楼62层、63层,北京市朝阳区东三环中路5号楼62层,http://www.xxcig.com,010-65165128,010-65165128;010-65165127;010-65165165;59290090,liyh@xxcig.com,nicelee311@163.com;pengchengjc@163.com;services@xxcig.com
中国恒天集团有限公司,存续,金永传,833695.25万人民币,833695.25万人民币,1988-09-08,2021-12-31,1988-09-08  至 无固定期限,北京市,北京市,朝阳区,91110000100008886U,91110000100008886U,100000000008889,10000888-6,125,有限责任公司(法人独资),专用设备制造业,"中国恒天集团公司	",北京市朝阳区建国路99号,北京市朝阳区建国路99号,http://www.chtgc.com,65838135,65838135;65813211;65838027,yanjh@chtgc.com,yanjh@ctmgc.com;wyx@chtgc.com;w681224@sina.com
雅戈尔集团股份有限公司,存续,李如成,462890.2973万人民币,-,1993-06-25,2022-06-22,1993-06-25 至 9999-12-31,浙江省,宁波市,海曙区,91330200704800698F,91330200704800698F,330200000007255,70480069-8,192,其他股份有限公司(上市),纺织服装、服饰业,-,浙江省宁波市海曙区鄞县大道西段2号,浙江省宁波市海曙区鄞县大道西段2号,http://www.youngor.com/,0574-56198667,0574-56198667;0574-87425135;0574-87425136;0574-88265571,ir@youngor.com,ir@youngor.com.cn
山东如意科技集团有限公司,开业,邱亚夫,405406万人民币,405406万人民币,2001-12-28,2022-01-21,2001-12-28 至 2034-05-17,山东省,济宁市,济宁高新技术产业开发区,91370800734712875Q,91370800734712875Q,370800400001688,73471287-5,45,有限责任公司(中外合资),纺织业,-,济宁高新区如意工业园,济宁高新区如意工业园,http://www.chinaruyi.com/,0537-2933039,0537-2933039;0537-2311818-8347;18653702712;18953781919;13838396712;18953760948,ryjtb@chinaruyi.com,-
山东东明石化集团有限公司,开业,李湘平,560186万人民币,560186万人民币,1997-02-08,2022-04-27,1997-02-08  至 无固定期限,山东省,菏泽市,东明县,9137172816928036XB,9137172816928036XB,371728018000127,16928036-X,872,有限责任公司,石油、煤炭及其他燃料加工业,-,东明县黄河路27号,东明县黄河路27号,www.sddmsh.com,0530-7286659,0530-7286659,dmsh@dmsh.com,dmsh@dmsh.com.cn
中国国际海运集装箱（集团）股份有限公司,存续,麦伯良,359501.359万人民币,171657.6609万人民币,1980-01-14,2021-11-03,1980-01-14 至 2030-01-14,广东省,深圳市,南山区,91440300618869509J,91440300618869509J,440301501119369,61886950-9,226,股份有限公司(中外合资、上市),金属制品业,"中国国际海运集装箱股份有限公司	",深圳市南山区蛇口工业区港湾大道2号中集研发中心8楼（办公）,中国广东省深圳市蛇口工业区港湾大道2号中集集团研发中心,http://www.cimc.com,0755-26691130,0755-26691130;0755-26802075;13530222501;13636635751,cimc@cimc.com,-
东方电气股份有限公司,存续,俞培根,311879.213万人民币,-,1993-12-28,2021-08-19,1993-12-28  至 无固定期限,四川省,成都市,-,915101002051154851,915101002051154851,510109000059366,20511548-5,364,其他股份有限公司(上市),电气机械和器材制造业,"东方电机股份有限公司	",成都市高新西区西芯大道18号,成都市高新西区西芯大道18号,www.dongfang.com,028-87898111,028-87898111;028-87583111;028-87583666,dsb@dongfang.com,bsb@dongfang.com
深圳市兆驰股份有限公司,存续,顾伟,452694.0607万人民币,452694.0607万人民币,2005-04-04,2018-07-26,2005-04-04 至 5000-01-01,广东省,深圳市,龙岗区,9144030077272966XD,9144030077272966XD,440301102850794,77272966-X,270,股份有限公司(上市),计算机、通信和其他电子设备制造业,"深圳市兆驰多媒体有限公司	",深圳市龙岗区南湾街道下李朗社区李朗路一号兆驰创新产业园,深圳市龙岗区南湾街道下李朗社区李朗路一号兆驰创新产业园,http://www.szmtc.com.cn/,0755-32901656,0755-32901656;0755-33614247;0755-33343666;0755-32901981,lindaliu@szmtc.com.cn,reception31@szmtc.com.cn;zmm@szmtc.com.cn
广西盛隆冶金有限公司,存续,柯雪利,300000万人民币,135300万人民币,2003-06-27,2021-12-28,2003-06-27  至 无固定期限,广西壮族自治区,防城港市,港口区,9145060075122294X6,9145060075122294X6,450600200005871,75122294-X,8196,有限责任公司(自然人投资或控股),黑色金属冶炼和压延加工业,"广西万鑫钢铁有限公司	",防城港市港口区沙潭江街道企沙大道5000号擎天海澳城1-2栋1-2层,防城港市港口区沙潭江街道企沙大道5000号擎天海澳城1-2栋1-2层,http://www.gxslyj.com/,0770-2808788,0770-2808788;0770-2808566,slyj808888@163.com,slyj2808888@163.com;wanxinsteel@163.com
中国南玻集团股份有限公司,存续,陈琳,307069.2107万人民币,306642.5393万人民币,1984-09-10,2020-09-29,1984-09-10 至 2042-09-10,广东省,深圳市,南山区,914403006188385775,914403006188385775,440301501125544,61883857-7,536,股份有限公司(中外合资、上市),非金属矿物制品业,"中国南玻科技控股（集团）股份有限公司	;	中国南方玻璃有限公司	;	中国南方玻璃股份有限公司	",深圳市南山区招商街道工业六路一号南玻大厦,深圳市南山区招商街道工业六路一号南玻大厦,http://www.csgholding.com,0755-26860660,0755-26860660;0755-26860666;13602675142;0755-86655912;13760477341,tanmx001@csgholding.com,liujz001@csgholding.com;csg@csgholding.com
临沂新程金锣肉制品集团有限公司,开业,明金星,60000万美元,-,1994-10-21,2022-06-17,1994-10-21  至 无固定期限,山东省,临沂市,兰山区,913713006139930338,913713006139930338,371300400000558,61399303-3,3763,有限责任公司(港澳台法人独资),农副食品加工业,"临沂新程肉制品有限公司	;	临沂新程金锣肉制品有限公司	",临沂市兰山区金锣科技园,临沂市兰山区金锣科技园,http://www.jltwp.cn,0539-7057319,0539-7057319;0539-7057880;0539-2977319;0539-2977316;0539-2977089;18954908200;18628185826,402941327@qq.com,1606297633@qq.com;1606297633@qq.com.cn
赛轮集团股份有限公司,开业,袁仲雪,306348.4772万人民币,270146.067万人民币,2002-11-18,2022-07-07,2002-11-18  至 无固定期限,山东省,青岛市,黄岛区,91370200743966332L,91370200743966332L,370211228042403,743966332,3140,其他股份有限公司(上市),橡胶和塑料制品业,"青岛赛轮子午线轮胎信息化生产示范基地有限公司	;	赛轮有限公司	;	赛轮金宇集团股份有限公司	;	赛轮股份有限公司	",山东省青岛市黄岛区茂山路588号,山东省青岛市黄岛区茂山路588号,https://www.sailuntyre.com/,0532-68862851,0532-68862851;0532-67772365;0532-68862850,ziben@sailunjinyu.com,lvtao@sailunjinyu.com;zibenguihua@sailuntyre.com
华新水泥股份有限公司,存续,李叶青,209659.9855万人民币,191659.2467万人民币,1993-11-30,2021-07-27,1993-11-30  至 无固定期限,湖北省,黄石市,-,914200007068068827,914200007068068827,420000400000283,70680688-2,1759,股份有限公司(中外合资、上市),非金属矿物制品业,-,湖北省黄石市大棋大道东600号,武汉市东湖高新技术开发区426号华新大厦,http://www.huaxincem.com,027-87773996,027-87773996;027-87773991;027-87806060;0728-3262951,zhoudongyan@huaxincem.com,zhanghuan@huaxincem.com;zhanghuan_hq@huaxincem.com;itsc@huaxincem.com
北京燕京啤酒股份有限公司,存续,耿超,281853.9341万人民币,281853.9341万人民币,1997-07-08,2022-08-05,1997-07-08 至 2047-07-07,北京市,北京市,顺义区,91110000633646901B,91110000633646901B,110000005108444,63364690-1,4502,其他股份有限公司(上市),酒、饮料和精制茶制造业,-,北京市顺义区双河路9号,北京市顺义区双河路9号,http://www.yanjing.com.cn,89495588,89495588;010-89490729;010-89495511,yi000729@126.com,yj000729@126.com
浙江森马服饰股份有限公司,存续,邱光和,269409.016万人民币,269382.904万人民币,2002-02-05,2022-10-14,2002-02-05 至 9999-12-31,浙江省,温州市,瓯海区,91330000736007862B,91330000736007862B,330300000030786,73600786-2,364,其他股份有限公司(上市),纺织服装、服饰业,"浙江巴拉巴拉童装股份有限公司	;	温州市森马童装有限公司	",温州市瓯海区娄桥工业园南汇路98号,温州市瓯海区娄桥工业园南汇路98号,http://www.semirbiz.com,0577-88098617,0577-88098617;0577-88098622;0577-88089999;0573-85036055;15275290681;0577-85036055,semir@semir.com,-
深圳创维-RGB电子有限公司,存续,王志国,185000万人民币,185000万人民币,1988-03-08,2022-08-10,1988-03-08  至 无固定期限,广东省,深圳市,南山区,91440300618810099P,91440300618810099P,440301503327309,61881009-9,1882,有限责任公司(台港澳合资),计算机、通信和其他电子设备制造业,"深圳RGB电子有限公司	;	深圳市鸿发顺不绣钢有限公司",深圳市南山区粤海街道深南大道南创维大厦A座13-16楼（仅限办公）,深圳市南山区高新南四道创维半导体设计大厦东座22楼,http://www.skyworth.com,0755-26010085,0755-26010085,pingjing@skyworth.com,jtb@skyworth.com
江苏阳光集团有限公司,存续,郁琴芬,195387.3万人民币,195387.3万人民币,1993-07-17,2022-09-23,1993-07-17 至 2043-07-16,江苏省,无锡市,江阴市,91320281250344877K,91320281250344877K,320281000074434,25034487-7,180,有限责任公司(自然人投资或控股),纺织业,"江苏阳光集团公司	",江阴市新桥镇陶新路18号,江阴市新桥镇陶新路18号,www.china-sunshine.com,0510-86121888,0510-86121888,86121888@163.com,-
亨通集团有限公司,存续,崔根良,230000万人民币,230000万人民币,1992-11-20,2022-07-09,1992-11-20  至 无固定期限,江苏省,苏州市,吴江区,91320509138285715E,91320509138285715E,320584000036460,13828571-5,142,有限责任公司(自然人投资或控股),计算机、通信和其他电子设备制造业,"江苏亨通集团公司（吴江市光电通信线缆总厂）	;	亨通集团公司	;	亨通集团公司HENGTONG	;	江苏亨通集团公司	;	吴江市光电通信线缆总厂	",江苏吴江七都镇心田湾,吴江经济技术开发区中山北路2288号,http://www.hengtonggroup.com/,0512-63196900,0512-63196900;0512-63196811;0512-63196813;0512-63196812,hengtong@hengtonggroup.com,wuy@hengtonggroup.com.cn;shenlan@hengtonggroup.com.cn
上海美特斯邦威服饰股份有限公司,存续,胡佳佳,251250万人民币,154500万人民币,2000-12-06,2020-07-20,2000-12-06  至 无固定期限,上海市,上海市,浦东新区,913100001321787408,913100001321787408,310225000206755,13217874-0,1046,其他股份有限公司(上市),纺织服装、服饰业,"上海美特斯邦威服饰有限公司	",中国（上海）自由贸易试验区康桥东路800号,上海浦东新区康桥东路800号,http://corp.metersbonwe.com,021-38119999,021-38119999;021-38119999-6199;13918451695;38119999-6199;021-38119999-8628;15201722269,chenyi1@metersbonwe.com,-
华兰生物工程股份有限公司,存续,安康,182436.6726万人民币,182436.67万人民币,1992-03-30,2020-07-02,1992-03-30  至 无固定期限,河南省,新乡市,-,91410000614914114G,91410000614914114G,410000400000088,61491411-4,495,股份有限公司(台港澳与境内合资、上市),医药制造业,"华兰生物工程有限公司	",新乡市华兰大道甲1号,河南省新乡市华兰大道甲一号,hualan.com,0373-3559989,0373-3559989;3559910,gfcwb@hualan.com,hualan@hualanbio.com
新明珠集团股份有限公司,开业,叶德林,124208万人民币,-,1999-01-15,2022-05-25,1999-01-15  至 无固定期限,广东省,佛山市,禅城区,91440600708118119M,91440600708118119M,440602000007668,70811811-9,763,股份有限公司(非上市、自然人投资或控股),非金属矿物制品业,"新明珠陶瓷集团有限公司	;	南海市新明珠陶瓷有限公司	;	广东新明珠陶瓷有限公司	;	广东新明珠陶瓷集团有限公司",佛山市禅城区南庄镇华夏陶瓷博览城陶博大道18号一楼,佛山市禅城区南庄镇华夏陶瓷博览城陶博大道18号一楼,http://www.newpearl.com,0757-85381349,0757-85381349;0757-85317908;0757-85385890;13360356531,swb@newpearl.com,swb@qq.com
深圳达实智能股份有限公司,存续,刘磅,192219.9429万人民币,190215.9229万人民币,1995-03-17,2022-04-26,1995-03-17 至 5000-01-01,广东省,深圳市,南山区,914403006188861815,914403006188861815,440301102717424,61888618-1,925,股份有限公司(上市),计算机、通信和其他电子设备制造业,"深圳达实自动化工程有限公司	",深圳市南山区高新技术村W1栋A座五楼,深圳市南山区高新技术产业园科技南一路达实大厦12楼,www.jiankangbaoding.cn,0755-26639961,0755-26639961;010-66433095;13520841344,zhaoy@chn-das.com,tanxd@chn-das.com;szdas@chn-das.com;szdas@qq.com;das@chn-das.com
海天塑机集团有限公司,存续,张静章,27646万美元,27646万美元,2001-02-23,2022-06-06,2001-02-23 至 2029-02-22,浙江省,宁波市,北仑区,91330200717285453P,91330200717285453P,330200400002723,71728545-3,4160,有限责任公司(台港澳法人独资),通用设备制造业,"宁波大港海天机械有限公司	;	宁波海天塑机集团有限公司	",浙江省宁波市北仑区小港海天路1688号,浙江省宁波市北仑区小港海天路1688号,www.tianjianpm.com,0574-86188888,0574-86188888;0574-86181893;15206322255;15006625255;13824541428,1980059335@qq.com,-
鲁西化工集团股份有限公司,开业,张金成,191967.6011万人民币,42426.71万人民币,1998-06-11,2022-06-21,1998-06-11  至 无固定期限,山东省,聊城市,-,91370000614071479T,91370000614071479T,370000018010623,61407147-9,4160,其他股份有限公司(上市),化学原料和化学制品制造业,"山东鲁西化工股份有限公司	",聊城市高新技术产业开发区鲁西化工总部驻地,聊城市高新技术产业开发区鲁西化工总部驻地,http://www.luxichemical.com,0635-3481198,0635-3481198,000830@lxhg.com,lclxhg@public.lcptt.sd.cn
海能达通信股份有限公司,存续,陈清州,183722.0491万人民币,-,1993-05-11,2021-10-25,1993-05-11 至 5000-01-01,广东省,深圳市,南山区,91440300279422189D,91440300279422189D,440301103177938,27942218-9,3165,股份有限公司(上市),计算机、通信和其他电子设备制造业,"深圳市好易通科技有限公司	;	深圳好易通科技有限公司	;	深圳市海能达通信股份有限公司	",深圳市南山区高新区北区北环路9108号海能达大厦,深圳市南山区高新区北区北环路9108号海能达大厦,http://www.hytera.com,0755-26972999,0755-26972999,service@hytera.com,haijin.huang@hytera.com;webmaster@hytera.com
山东太阳纸业股份有限公司,开业,李洪信,268700.4024万人民币,123522.4184万人民币,2000-04-26,2022-05-24,2000-04-26  至 无固定期限,山东省,济宁市,兖州区,91370800706094280Q,91370800706094280Q,370000228006169,70609428-0,4482,股份有限公司(上市),造纸和纸制品业,-,山东省济宁市兖州区西关大街66号,山东省济宁市兖州区西关大街66号,http://www.sunpapergroup.com,0537-7928715,0537-7928715;0537-3658139;18672863802,tangjie@sunpaper.cn,sunpapertangjie@163.com
天水华天科技股份有限公司,存续,肖胜利,320448.4648万人民币,320448.4648万人民币,2003-12-25,2022-06-09,2003-12-25 至 2053-12-24,甘肃省,天水市,秦州区,91620500756558610D,91620500756558610D,620500000000067,75655861-0,3998,股份有限公司(上市),计算机、通信和其他电子设备制造业,-,甘肃省天水市秦州区双桥路14号,甘肃省天水市秦州区赤峪路88号,http://www.tshtkj.com/,0938-8631000,0938-8631000;15101939079,yongliang.pei@ht-tech.com,li.sun@ht-tech.com
西王集团有限公司,开业,王勇,245687.579462万人民币,233269.752732万人民币,2001-04-24,2022-08-25,2001-04-24  至 无固定期限,山东省,滨州市,邹平市,9137162616720307XL,9137162616720307XL,371626018009778,16720307-X,219,有限责任公司(自然人投资或控股),农副食品加工业,"山东西王集团有限公司	",山东省邹平市西王工业园,山东省邹平市西王工业园,http://www.xiwang.cn/,0543-4866666,0543-4866666;0543-8138056;0543-4610088;0543-4305689;13306498128;13561553914,xiwangjituan8888@163.com,xwct@163.com
陕西汽车集团股份有限公司,开业,袁宏明,210000万人民币,210000万人民币,1989-11-18,2022-08-12,1989-11-18  至 无固定期限,陕西省,西安市,高陵区,91610000220524252T,91610000220524252T,610000100111511,22052425-2,307,其他股份有限公司(非上市),汽车制造业,"陕西汽车制造总厂	;	陕西汽车集团有限责任公司	",陕西省西安市经开区泾渭工业园,陕西省西安市经开区泾渭工业园,http://www.sxqc.com,029-86955555,029-86955555;029-86955952;029-83388399;86955974,sxqc@sxqc.com,sqjtgl@sxqc.com
苏州旭创科技有限公司,存续,刘圣,283460万人民币,283460万人民币,2008-04-14,2022-06-28,2008-04-14  至 无固定期限,江苏省,苏州市,苏州工业园区,913205946739170837,913205946739170837,320594400022548,673917083,2363,有限责任公司（自然人投资或控股的法人独资）,计算机、通信和其他电子设备制造业,-,中国（江苏）自由贸易试验区苏州片区苏州工业园区霞盛路8号,苏州工业园区霞盛路8号,http://www.innolight.com/,0512-86669288,0512-86669288;021-58768485;0512-62994757,sunny.hao@innolight.com,suzhen.huang@innolight.com
浙江交工集团股份有限公司,存续,吴伟,322800万人民币,322800万人民币,1999-05-20,2021-11-08,1999-05-20 至 9999-12-31,浙江省,杭州市,滨江区,91330000712561789G,91330000712561789G,330000000033642,712561789,3047,其他股份有限公司(非上市),非金属矿物制品业,"浙江省交通工程建设集团有限公司	",浙江省杭州市滨江区江陵路2031号钱江大厦,浙江省杭州市滨江区江陵路2031号钱江大厦,www.zjjtgc.com,0571-8517765,0571-8517765;0571-85177765;0571-87669577;0571-85171959,bgs@zjjtgc.com,zjjtgc@zjjtgc.com
龙佰集团股份有限公司,存续,许刚,239014.5256万人民币,5216.26万人民币,1998-08-20,2022-10-12,1998-08-20 至 2055-08-19,河南省,焦作市,中站区,91410800173472241R,91410800173472241R,410800100001308,17347224-1,1980,股份有限公司(上市、自然人投资或控股),化学原料和化学制品制造业,"河南佰利联化学股份有限公司	;	龙蟒佰利联集团股份有限公司	",焦作市中站区冯封办事处,河南省焦作市中站区焦克路1669号,http://www.billionschem.com/,0391-3126626,0391-3126626,zongcaiban@lomonbillions.com,bll3126626@163.com
中粮生物科技股份有限公司,存续,佟毅,186527.3596万人民币,184764.4377万人民币,1998-08-28,2022-07-29,1998-08-28  至 无固定期限,安徽省,蚌埠市,-,91340000711722608T,91340000711722608T,340000000001255,71172260-8,1122,股份有限公司(台港澳与境内合资、上市),化学原料和化学制品制造业,"中粮生物化学（安徽）股份有限公司	;	安徽丰原生物化学股份有限公司	",安徽省蚌埠市开源大道99号,安徽省蚌埠市中粮大道1号,http://www.cofcotech.com/,0552-4926909,0552-4926909,zlshahstock@163.com,zlaock@163.com
铁牛集团有限公司,存续,应建仁,166800万人民币,166800万人民币,1996-12-20,2017-10-20,1996-12-20 至 2036-12-19,浙江省,金华市,永康市,9133078425507428XE,9133078425507428XE,330784000017528,25507428-X,395,有限责任公司(自然人投资或控股),通用设备制造业,"浙江铁牛实业有限公司	",浙江省金华市永康市经济开发区北湖路19号第1层,浙江省金华市永康市经济开发区北湖路19号第1层,tech-new.cn,0579-87229999,0579-87229999;0579-89299999,-,-
